time: 2000000000
63 2 10
63 3 10
63 4 10
64 1 10
64 2 10
64 3 10
64 4 10
64 5 10
65 1 10
65 2 10
65 3 10
65 4 10
65 5 10
66 1 10
66 2 10
66 3 10
66 4 10
66 5 10
67 1 10
67 2 10
67 3 10
67 4 10
67 5 10
68 1 10
68 2 10
68 3 10
68 4 10
68 5 10
69 1 10
69 2 10
69 3 10
69 4 10
69 5 10
70 1 10
70 2 10
70 3 10
70 4 10
70 5 10
71 1 10
71 2 10
71 3 10
71 4 10
71 5 10
72 1 10
72 2 10
72 3 10
72 4 10
72 5 10
73 1 10
73 2 10
73 3 10
73 4 10
73 5 10
time: 3000000000
32 1 11
32 2 11
32 3 11
32 4 11
33 1 11
33 2 11
33 3 11
33 4 11
34 1 11
34 2 11
34 3 11
34 4 11
35 1 11
35 2 11
35 3 11
35 4 11
36 1 11
36 2 11
36 3 11
36 4 11
37 1 11
37 2 11
37 3 11
37 4 11
38 1 11
38 2 11
38 3 11
38 4 11
39 1 11
39 2 11
39 3 11
39 4 11
40 1 11
40 2 11
40 3 11
40 4 11
41 1 11
41 2 11
41 3 11
41 4 11
42 1 11
42 2 11
42 3 11
42 4 11
43 1 11
43 2 11
43 3 11
43 4 11
44 1 11
44 2 11
44 3 11
44 4 11
45 1 11
45 2 11
45 3 11
45 4 11
46 1 11
46 2 11
46 3 11
46 4 11
47 1 11
47 2 11
47 3 11
47 4 11
48 1 11
48 2 11
48 3 11
48 4 11
49 1 11
49 2 11
49 3 11
49 4 11
50 1 11
50 2 11
50 3 11
50 4 11
51 1 11
51 2 11
51 3 11
51 4 11
52 1 11
52 2 11
52 3 11
52 4 11
53 1 11
53 2 11
53 3 11
53 4 11
54 1 11
54 2 11
54 3 11
54 4 11
55 1 11
55 2 11
55 3 11
55 4 11
56 1 11
56 2 11
56 3 11
56 4 11
57 1 11
57 2 11
57 3 11
57 4 11
58 1 11
58 2 11
58 3 11
58 4 11
59 1 11
59 2 11
59 3 11
59 4 11
60 1 11
60 2 11
60 3 11
60 4 11
61 1 11
61 2 11
61 3 11
61 4 11
62 1 11
62 2 11
62 3 11
62 4 11
63 1 11
63 2 11
63 3 11
63 4 11
64 1 11
64 2 11
64 3 11
64 4 11
64 5 11
65 1 11
65 2 11
65 3 11
65 4 11
65 5 11
66 1 11
66 2 11
66 3 11
66 4 11
66 5 11
67 1 11
67 2 11
67 3 11
67 4 11
67 5 11
68 1 11
68 2 11
68 3 11
68 4 11
68 5 11
69 1 11
69 2 11
69 3 11
69 4 11
69 5 11
70 1 11
70 2 11
